,Optimal-alpha,No-FT,std-no-ft,Optimal,std_optimal
"('elec', 'kitchen')",1.68,65.66,1.11,81.3,0.14
"('dvd', 'elec')",1.07,65.07,1.02,75.61,0.47
"('book', 'elec')",1.06,65.07,1.02,74.96,0.29
"('kitchen', 'dvd')",1.54,60.93,0.49,72.93,0.19
"('elec', 'dvd')",1.4,60.93,0.49,72.12,0.34
"('kitchen', 'elec')",1.81,65.07,1.02,80.54,0.1
"('dvd', 'book')",1.73,59.98,0.1,75.54,0.13
"('book', 'kitchen')",1.09,65.66,1.11,77.57,0.74
"('elec', 'book')",1.4,59.98,0.1,70.13,0.38
"('dvd', 'kitchen')",1.09,65.66,1.11,77.55,0.4
"('kitchen', 'book')",1.55,59.98,0.1,71.53,0.36
"('book', 'dvd')",1.71,60.93,0.49,77.53,0.19
